run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,160,0
200,237150,0,216325,0,216325,0,20825,20825,0,168,0
300,474300,39100,355300,57800,413100,0,22100,22100,0,168,0
400,711450,181900,269875,236300,506175,0,23375,23375,0,168,0
500,948600,221000,382500,249050,631550,0,24650,24650,71400,168,0
600,1185750,363800,297075,427550,724625,0,25925,25925,71400,168,0
700,1422900,402900,405238,436050,841288,0,27200,27200,151512,168,2
800,1660050,545700,321513,257550,579063,0,28475,28475,506812,168,0
900,1897200,584800,435838,161500,597338,0,29750,29750,685312,168,0
1000,2134350,727600,352113,285600,637713,0,31025,31025,738012,168,0
1100,2371500,766700,464738,294100,758838,0,32300,32300,813662,168,0
1200,2608650,909500,379313,472600,851913,0,33575,33575,813662,168,0
1300,2845800,948600,490748,481100,971848,0,34850,34850,890502,168,2
1400,3082950,1091400,400563,496400,896963,0,36125,36125,1058462,168,1
1500,3320100,1130500,513337,294100,807437,0,37400,37400,1344763,168,1
1600,3557250,1273300,427487,451350,878837,0,38675,38675,1366438,168,1
1700,3794400,1312400,539007,403750,942757,0,39950,39950,1499293,168,2
1800,4031550,1455200,454007,397800,851807,0,41225,41225,1683318,168,1
1900,4268700,1494300,566377,350200,916577,0,42500,42500,1815323,168,1
2000,4505850,1637100,472519,507450,979969,0,43775,43775,1845006,168,14
2100,4743000,1676200,571757,459850,1031607,0,45050,45050,1990143,168,17
2200,4980150,1819000,473157,475150,948307,0,46325,46325,2166518,168,16
2300,5217300,1858100,571927,483650,1055577,0,47600,47600,2256023,168,16
2400,5454450,2000900,472137,662150,1134287,0,48875,48875,2270388,168,17
2500,5691600,2040000,567932,670650,1238582,0,50150,50150,2362868,168,18
2600,5928750,2182800,470182,510000,980182,0,51425,51425,2714343,168,16
2700,6165900,2221900,569802,462400,1032202,0,52700,52700,2859098,168,16
2800,6403050,2364700,471202,619650,1090852,0,53975,53975,2893523,168,16
2900,6640200,2403800,569122,628150,1197272,0,55250,55250,2983878,168,17
3000,6877350,2546600,470522,643450,1113972,0,56525,56525,3160253,168,16
3100,7114500,2585700,2550,0,2550,651950,624117,1276067,3250183,168,17
3200,7351650,2585700,182325,850,183175,653650,678942,1332592,3250183,141,0
3300,7588800,2602700,314075,64600,378675,653650,702742,1356392,3251033,157,0
3400,7825950,2602700,261800,255000,516800,739500,715917,1455417,3251033,0,0
3500,8063100,2602700,365500,257550,623050,798150,717617,1515767,3321583,0,0
